                 STATE             ST_ABB     YR       P_CAP         HWY        WATER       UTIL          PC         GSP       EMP      UNEMP
                 LOUISIANA           LA      1984     25932.73    12825.32     3144.81     9962.60    130129.72     75349     1601.5     10.0
                 LOUISIANA           LA      1985     26477.79    13131.09     3213.47    10133.22    133300.12     73777     1591.2     12.0
                 LOUISIANA           LA      1986     26617.47    13271.71     3275.03    10070.74    134624.42     68508     1518.5     13.0
                 MAINE               ME      1970      3868.87     2206.79      482.69     1179.39      9305.13      8844      332.2      5.7
                 MAINE               ME      1971      3999.86     2256.43      494.98     1248.46      9582.60      8958      332.3      7.6
                 MAINE               ME      1972      4167.61     2335.08      505.60     1326.92      9906.21      9449      343.7      7.0
                 MAINE               ME      1973      4272.26     2427.57      515.68     1329.01     10255.45      9949      354.8      5.9
                 MAINE               ME      1974      4394.33     2485.16      549.75     1359.42     10747.95      9976      361.5      6.7
                 MAINE               ME      1975      4529.86     2515.26      579.48     1435.12     11224.50      9672      356.9     10.0
                 MAINE               ME      1976      4593.66     2518.41      610.57     1464.69     11017.15     10555      375.3      8.9
                 MAINE               ME      1977      4662.84     2521.78      673.27     1467.79     11201.57     10916      387.8      8.4
                 MAINE               ME      1978      4813.68     2531.39      862.79     1419.50     11494.06     11434      405.6      6.2
                 MAINE               ME      1979      4931.13     2541.84      983.92     1405.36     11929.56     11765      415.9      7.2
                 MAINE               ME      1980      4991.87     2553.75     1023.49     1414.64     12404.60     11731      418.3      7.8
                 MAINE               ME      1981      5009.05     2559.10     1040.72     1409.24     11733.60     12013      419.2      7.2
                 MAINE               ME      1982      4976.60     2536.96     1032.93     1406.72     12095.07     12099      415.5      8.6
                 MAINE               ME      1983      4952.99     2540.19     1023.46     1389.35     12308.54     12813      425.0      9.0
                 MAINE               ME      1984      4941.74     2536.66     1017.56     1387.53     12475.82     13652      445.7      6.1
                 MAINE               ME      1985      4942.55     2526.87     1037.07     1378.60     12817.15     14238      458.4      5.4
                 MAINE               ME      1986      4939.70     2535.26     1044.48     1359.97     13919.23     15056      477.4      5.3
                 MARYLAND            MD      1970     19145.01     7466.91     4107.45     7570.64     29115.59     42971     1349.2      3.3
                 MARYLAND            MD      1971     20023.61     7761.21     4151.61     8110.79     30631.20     44111     1371.5      4.2
                 MARYLAND            MD      1972     21126.69     8191.56     4165.89     8769.25     31964.23     46121     1415.0      4.7
                 MARYLAND            MD      1973     22060.79     8386.45     4296.63     9377.71     33413.53     48728     1471.5      3.5
                 MARYLAND            MD      1974     23017.84     8733.95     4422.23     9861.66     35364.63     48514     1493.6      3.7
                 MARYLAND            MD      1975     24189.50     9088.64     4637.77    10463.09     37135.88     47751     1479.3      6.9
                 MARYLAND            MD      1976     25322.85     9328.20     4974.62    11020.03     35089.36     49228     1498.3      6.8
                 MARYLAND            MD      1977     26238.15     9610.83     5189.16    11438.15     35875.05     50507     1545.6      6.1
                 MARYLAND            MD      1978     26910.22     9813.67     5266.61    11829.94     37068.32     52317     1625.8      5.6
                 MARYLAND            MD      1979     27644.44     9951.82     5454.99    12237.64     38627.83     52804     1691.3      5.9
                 MARYLAND            MD      1980     28081.96    10018.00     5557.20    12506.75     40397.33     52361     1711.8      6.5
                 MARYLAND            MD      1981     28715.84    10118.32     5713.03    12884.49     40578.02     53231     1715.8      7.3
                 MARYLAND            MD      1982     28850.43    10160.71     5787.90    12901.82     41844.34     52583     1675.8      8.4
                 MARYLAND            MD      1983     29101.83    10461.03     5776.88    12863.92     42589.53     55323     1724.1      6.9
                 MARYLAND            MD      1984     29214.12    10668.97     5683.73    12861.42     43493.99     58925     1814.0      5.4
                 MARYLAND            MD      1985     29451.52    10845.28     5946.06    12660.18     45119.15     62179     1887.8      4.6
                 MARYLAND            MD      1986     29577.46    10983.19     5892.33    12701.94     49257.92     65408     1952.0      4.5
                 MASSACHUSETTS       MA      1970     21923.28     8541.89     2240.20    11141.18     37917.57     64429     2243.5      4.6
                 MASSACHUSETTS       MA      1971     23177.83     8871.26     2363.06    11943.51     39727.03     65276     2211.4      6.6
                 MASSACHUSETTS       MA      1972     24385.09     9022.56     2540.81    12821.72     41461.37     68096     2251.7      6.4
                 MASSACHUSETTS       MA      1973     25765.21     9033.16     2755.10    13976.94     43388.76     70876     2333.5      6.7
                 MASSACHUSETTS       MA      1974     27100.33     9074.66     2863.37    15162.30     45943.04     68955     2353.7      7.2
                 MASSACHUSETTS       MA      1975     28204.28     9114.56     2980.54    16109.18     48221.47     66448     2273.1     11.0
                 MASSACHUSETTS       MA      1976     28752.82     9101.40     3198.66    16452.76     45024.55     68467     2323.5      9.5
                 MASSACHUSETTS       MA      1977     29171.97     9098.10     3366.41    16707.46     46061.69     71258     2416.0      8.1
                 MASSACHUSETTS       MA      1978     29202.12     9123.64     3466.10    16612.37     47564.53     73575     2526.3      6.1
                 MASSACHUSETTS       MA      1979     29455.50     9169.85     3718.09    16567.56     49564.81     75180     2603.5      5.5
                 MASSACHUSETTS       MA      1980     29999.21     9146.15     4015.43    16837.63     51862.37     75289     2652.2      5.6
                 MASSACHUSETTS       MA      1981     30166.12     9094.17     4216.05    16855.91     54146.22     77490     2668.3      6.4
                 MASSACHUSETTS       MA      1982     30190.87     9076.55     4277.85    16836.47     55990.97     77166     2638.0      7.9
                 MASSACHUSETTS       MA      1983     30221.77     9034.17     4320.64    16866.96     57244.08     82489     2692.5      6.9
                 MASSACHUSETTS       MA      1984     30352.69     9031.48     4381.02    16940.19     58684.77     90684     2851.8      4.8
                 MASSACHUSETTS       MA      1985     30497.51     9004.18     4451.55    17041.78     61180.21     96698     2926.0      3.9
                 MASSACHUSETTS       MA      1986     30795.56     8984.76     4558.94    17251.86     69574.24    102279     2984.8      3.8
                 MICHIGAN            MI      1970     44684.82    17924.92     8380.48    18379.42     84755.95    102172     2999.0      6.7
                 MICHIGAN            MI      1971     45993.77    18238.74     8564.69    19190.33     87827.03    107116     2995.0      7.6
                 MICHIGAN            MI      1972     46772.91    18423.57     8947.32    19402.02     91039.26    113837     3118.9      7.0
                 MICHIGAN            MI      1973     47923.55    18834.46     9556.35    19532.75     94302.49    122991     3284.3      5.8
                 MICHIGAN            MI      1974     48793.43    19160.95     9887.32    19745.17     99072.42    115796     3277.6      8.7
                 MICHIGAN            MI      1975     49789.59    19397.17    10081.01    20311.41    103711.23    109217     3136.6     13.0
                 MICHIGAN            MI      1976     50687.49    19591.79    10233.82    20861.88    104330.83    119929     3283.0      9.4
                 MICHIGAN            MI      1977     51302.34    19800.72    10369.21    21132.41    106687.08    129279     3442.3      8.2
                 MICHIGAN            MI      1978     51494.34    19980.26    10350.29    21163.79    109995.68    135247     3609.4      6.9
                 MICHIGAN            MI      1979     51707.36    20002.83    10486.26    21218.27    114436.69    132845     3637.1      7.8
                 MICHIGAN            MI      1980     51922.35    19996.38    10644.23    21281.74    119398.08    121360     3442.8     12.0
                 MICHIGAN            MI      1981     52276.40    20024.11    10900.24    21352.04    112346.20    118356     3364.4     12.0
                 MICHIGAN            MI      1982     51955.88    19881.31    10758.53    21316.04    115911.34    108627     3193.3     16.0
                 MICHIGAN            MI      1983     51305.62    19714.51    10578.52    21012.58    118105.75    114259     3223.1     14.0
                 MICHIGAN            MI      1984     50724.55    19505.44    10584.32    20634.78    119778.97    123886     3381.0     11.0
                 MICHIGAN            MI      1985     50392.79    19397.92    10390.41    20604.47    123249.89    131417     3561.5      9.9
                 MICHIGAN            MI      1986     49879.29    19184.17    10178.05    20517.06    125148.83    136433     3657.3      8.8
                 MINNESOTA           MN      1970     21948.43    10284.33     3682.74     7981.36     43287.56     41734     1315.3      4.2
                 MINNESOTA           MN      1971     23056.36    10735.90     3740.41     8580.04     45132.89     42467     1310.2      4.4
                 MINNESOTA           MN      1972     24023.53    11014.64     3790.75     9218.14     46882.97     44123     1357.1      4.3
                 MINNESOTA           MN      1973     24731.18    11172.43     3809.76     9748.98     48841.94     47805     1436.1      4.4
                 MINNESOTA           MN      1974     25333.93    11367.22     3945.05    10021.65     51426.02     47482     1481.0      4.3
                 MINNESOTA           MN      1975     25910.97    11555.19     3999.70    10356.08     53798.39     46967     1474.4      5.9
                 MINNESOTA           MN      1976     26485.99    11620.28     4141.07    10724.65     49634.58     48795     1520.9      5.9
                 MINNESOTA           MN      1977     27080.21    11748.50     4290.67    11041.03     51784.08     51661     1597.3      5.1
                 MINNESOTA           MN      1978     27464.67    11880.62     4455.08    11128.96     53517.11     54138     1689.3      3.8
                 MINNESOTA           MN      1979     27832.95    11985.82     4611.99    11235.14     55679.83     56239     1767.0      4.2
                 MINNESOTA           MN      1980     28055.27    12074.92     4721.44    11258.90     58050.22     55874     1770.2      5.9
                 MINNESOTA           MN      1981     28460.94    12164.09     4787.78    11509.07     58041.33     56748     1761.3      5.5
                 MINNESOTA           MN      1982     28590.72    12212.26     4834.17    11544.29     59374.92     55919     1707.3      7.8
                 MINNESOTA           MN      1983     28694.10    12279.25     4914.92    11499.93     59871.42     57167     1718.4      8.2
                 MINNESOTA           MN      1984     28718.02    12413.96     4898.92    11405.14     60369.40     62730     1819.8      6.3
                 MINNESOTA           MN      1985     28959.43    12569.74     4852.34    11537.35     61935.21     65463     1864.8      6.0
                 MINNESOTA           MN      1986     29241.00    12752.43     4809.57    11679.01     60525.85     68117     1892.5      5.3
                 MISSISSIPPI         MS      1970     10016.07     4936.56      824.65     4254.87     22569.14     17306      583.9      4.8
                 MISSISSIPPI         MS      1971     10497.82     5114.50      861.51     4521.82     23557.96     18027      602.2      4.8
                 MISSISSIPPI         MS      1972     10844.14     5323.04      887.66     4633.44     24157.50     19340      649.3      3.9
                 MISSISSIPPI         MS      1973     11076.23     5491.42      923.12     4661.69     24473.04     20605      693.2      3.6
                 MISSISSIPPI         MS      1974     11239.45     5639.29      951.12     4649.04     25485.57     20208      710.8      4.1
                 MISSISSIPPI         MS      1975     11515.56     5738.05     1011.40     4766.11     26426.83     20184      692.3      8.3
                 MISSISSIPPI         MS      1976     11799.74     5844.97     1072.13     4882.64     28130.16     22282      727.5      6.6
                 MISSISSIPPI         MS      1977     12061.45     6029.90     1100.06     4931.48     28447.98     23628      765.9      7.4
                 MISSISSIPPI         MS      1978     12274.39     6182.76     1101.60     4990.03     29243.06     24880      813.7      7.1
                 MISSISSIPPI         MS      1979     12384.91     6224.01     1135.35     5025.54     30326.78     25611      838.1      5.8
                 MISSISSIPPI         MS      1980     12454.04     6267.28     1122.82     5063.94     31541.40     25082      829.3      7.5
                 MISSISSIPPI         MS      1981     12547.36     6352.24     1111.96     5083.17     32193.92     26017      819.1      8.3
                 MISSISSIPPI         MS      1982     12603.35     6422.29     1117.05     5064.02     33198.66     25537      790.9     11.0
                 MISSISSIPPI         MS      1983     12613.88     6517.93     1129.55     4966.40     33751.34     25570      792.8     13.0
                 MISSISSIPPI         MS      1984     12509.37     6583.29     1117.48     4808.60     34052.06     27342      820.8     11.0
                 MISSISSIPPI         MS      1985     12430.11     6621.01     1108.22     4700.88     34822.24     27778      838.9     10.0
                 MISSISSIPPI         MS      1986     12411.36     6654.31     1138.91     4618.14     34116.19     27987      848.2     12.0
                 MISSOURI            MO      1970     19464.98     9512.80     2571.06     7381.12     43905.35     50196     1668.0      3.3
                 MISSOURI            MO      1971     20393.17     9928.55     2701.12     7763.50     46044.28     51945     1660.8      4.9
                 MISSOURI            MO      1972     21288.19    10282.11     2803.23     8202.85     47785.13     54198     1700.1      4.2
                 MISSOURI            MO      1973     22079.10    10518.19     2798.25     8762.66     49585.63     56789     1770.6      3.7
                 MISSOURI            MO      1974     22475.35    10658.22     2787.58     9029.55     52270.92     55056     1789.5      4.5
                 MISSOURI            MO      1975     22839.32    10880.54     2774.79     9183.98     54632.86     53932     1740.6      6.2
                 MISSOURI            MO      1976     23032.56    10949.45     2804.81     9278.30     54083.75     57183     1797.8      6.2
                 MISSOURI            MO      1977     23236.14    11026.81     2899.28     9310.05     55279.22     60424     1861.8      5.9
                 MISSOURI            MO      1978     23393.53    11140.36     3006.60     9246.57     56916.63     63375     1953.1      5.0
                 MISSOURI            MO      1979     23545.20    11165.62     3174.40     9205.17     59048.79     64333     2011.1      4.5
                 MISSOURI            MO      1980     23670.64    11257.64     3244.45     9168.55     61409.73     61574     1969.8      7.2
                 MISSOURI            MO      1981     23947.15    11287.89     3375.57     9283.69     61738.44     62540     1956.3      7.7
                 MISSOURI            MO      1982     24084.48    11257.30     3526.02     9301.16     63186.99     61226     1922.4      9.2
                 MISSOURI            MO      1983     23957.04    11186.57     3560.48     9209.99     63907.08     63655     1937.0      9.9
                 MISSOURI            MO      1984     23782.61    11168.62     3544.61     9069.39     64752.02     68490     2032.7      7.2
                 MISSOURI            MO      1985     23761.70    11134.25     3572.77     9054.68     66783.29     70830     2094.7      6.4
                 MISSOURI            MO      1986     23855.97    11224.66     3593.45     9037.86     68087.26     72629     2142.6      6.1
                 MONTANA             MT      1970      4782.64     3372.27      366.92     1043.45     14320.39      7896      199.1      5.5
                 MONTANA             MT      1971      4956.96     3517.01      371.39     1068.56     14461.39      7829      204.8      6.3
                 MONTANA             MT      1972      5095.70     3657.76      368.85     1069.09     14730.06      8524      215.3      6.2
                 MONTANA             MT      1973      5241.43     3786.46      360.64     1094.33     15347.47      8948      224.2      6.3
                 MONTANA             MT      1974      5420.38     3881.28      406.51     1132.59     15871.08      9176      234.0      6.7
                 MONTANA             MT      1975      5487.68     3885.38      428.87     1173.43     16347.55      9288      238.1      6.4
                 MONTANA             MT      1976      5536.46     3863.19      459.07     1214.20     18140.99      9524      251.1      6.1
                 MONTANA             MT      1977      5628.09     3886.33      497.77     1243.99     18199.92      9675      264.8      6.4
                 MONTANA             MT      1978      5756.96     3964.73      519.63     1272.61     18653.37     10580      280.4      6.2
                 MONTANA             MT      1979      5871.16     3999.93      530.18     1341.06     19264.06     10952      283.8      5.1
                 MONTANA             MT      1980      5945.22     3997.37      533.84     1414.02     19941.84     11114      280.4      6.1
                 MONTANA             MT      1981      6004.93     4003.21      534.09     1467.63     19265.48     11394      281.8      6.9
                 MONTANA             MT      1982      6027.25     4030.51      531.54     1465.20     19724.98     11007      273.7      8.6
                 MONTANA             MT      1983      5967.63     4007.25      530.62     1429.77     19877.97     10911      276.0      8.8
                 MONTANA             MT      1984      5957.83     4013.08      533.75     1410.99     19888.70     10817      281.1      7.4
                 MONTANA             MT      1985      6024.85     4046.68      553.46     1424.71     20199.10     10323      279.1      7.7
                 MONTANA             MT      1986      6117.91     4085.04      575.89     1456.97     19414.55     10763      275.4      8.1
                 NEBRASKA            NE      1970      9235.03     4134.55     1065.95     4034.52     19160.51     16067      484.3      3.1
                 NEBRASKA            NE      1971      9759.43     4227.15     1071.08     4461.20     19747.34     16648      490.8      3.6
                 NEBRASKA            NE      1972     10291.33     4373.59     1042.10     4875.63     20268.79     17429      517.0      3.4
                 NEBRASKA            NE      1973     10785.36     4469.52     1042.23     5273.60     21324.54     18284      541.3      3.3
                 NEBRASKA            NE      1974     11293.48     4574.39     1082.39     5636.69     22286.74     18151      562.1      3.8
                 NEBRASKA            NE      1975     11814.03     4667.10     1136.50     6010.44     23106.64     18717      557.8      4.2
                 NEBRASKA            NE      1976     12436.57     4740.46     1263.78     6432.33     24592.23     19189      572.1      3.3
                 NEBRASKA            NE      1977     12902.62     4831.06     1277.91     6793.64     24992.27     19563      593.7      3.7
                 NEBRASKA            NE      1978     13482.42     4911.27     1301.78     7269.37     25629.40     20298      609.9      3.0
                 NEBRASKA            NE      1979     14181.26     4985.51     1374.67     7821.08     26477.07     20943      631.2      3.2
                 NEBRASKA            NE      1980     14619.96     5048.29     1407.61     8164.06     27424.29     20575      627.6      4.1
                 NEBRASKA            NE      1981     14897.42     5106.40     1449.25     8341.77     29177.88     21777      623.2      4.1
                 NEBRASKA            NE      1982     15039.75     5138.40     1440.27     8461.08     29566.74     21244      609.8      6.1
                 NEBRASKA            NE      1983     15088.99     5188.05     1442.72     8458.22     29555.66     20647      610.8      5.7
                 NEBRASKA            NE      1984     15027.98     5215.73     1422.43     8389.81     29573.43     22164      635.4      4.4
                 NEBRASKA            NE      1985     14981.50     5281.80     1408.58     8291.11     30189.60     23300      650.5      5.5
                 NEBRASKA            NE      1986     14974.69     5344.81     1399.20     8230.68     28468.92     23673      652.5      5.0
                 NEVADA              NV      1970      3768.60     1993.17      464.21     1311.21     10805.73      7354      203.3      5.9
                 NEVADA              NV      1971      3877.35     2042.40      481.20     1353.76     11252.01      7599      210.5      7.0
                 NEVADA              NV      1972      4033.14     2094.25      508.15     1430.73     11706.31      8076      223.4      7.0
                 NEVADA              NV      1973      4160.79     2116.82      508.31     1535.66     12261.06      8774      244.6      6.2
                 NEVADA              NV      1974      4296.97     2155.53      513.74     1627.70     12901.95      8861      256.1      7.5
                 NEVADA              NV      1975      4402.10     2158.46      514.36     1729.28     13377.10      9084      263.1      9.7
                 NEVADA              NV      1976      4500.21     2165.37      538.63     1796.21     15048.03      9720      279.8      9.0
                 NEVADA              NV      1977      4574.27     2174.66      572.23     1827.37     15231.21     10673      308.2      7.0
                 NEVADA              NV      1978      4646.28     2195.82      606.32     1844.14     15437.13     12233      350.3      4.4
                 NEVADA              NV      1979      4766.05     2243.79      616.74     1905.53     15781.26     13343      383.7      5.1
                 NEVADA              NV      1980      4935.36     2276.73      711.72     1946.91     16264.91     13991      399.9      6.2
                 NEVADA              NV      1981      5188.56     2321.80      839.08     2027.68     17556.21     14365      411.2      7.1
                 NEVADA              NV      1982      5381.96     2368.03      886.05     2127.88     17981.16     13796      401.1     10.0
                 NEVADA              NV      1983      5500.17     2389.52      918.29     2192.36     18297.17     14103      402.8      9.8
                 NEVADA              NV      1984      5695.00     2455.39      997.68     2241.92     18813.07     14790      426.0      7.8
                 NEVADA              NV      1985      5856.90     2508.07     1049.48     2299.35     19705.62     15474      446.4      8.0
                 NEVADA              NV      1986      6003.00     2574.74     1082.71     2345.55     22724.26     16092      468.1      6.0
                 NEW_HAMPSHIRE       NH      1970      3085.49     1889.29      254.57      941.63      5957.55      6852      258.5      3.3
                 NEW_HAMPSHIRE       NH      1971      3247.53     1943.53      275.04     1028.95      6436.54      7042      259.9      4.7
                 NEW_HAMPSHIRE       NH      1972      3419.24     2008.20      302.67     1108.37      6680.89      7516      278.5      4.5
                 NEW_HAMPSHIRE       NH      1973      3559.45     2057.30      322.28     1179.87      6965.50      8098      297.8      3.9
                 NEW_HAMPSHIRE       NH      1974      3688.39     2124.83      372.70     1190.86      7332.32      8016      300.3      3.6
                 NEW_HAMPSHIRE       NH      1975      3783.91     2167.52      397.66     1218.73      7671.07      7819      292.8      9.0
                 NEW_HAMPSHIRE       NH      1976      3915.38     2214.32      428.63     1272.44      7536.15      8470      313.4      6.4
                 NEW_HAMPSHIRE       NH      1977      4084.04     2257.39      476.30     1350.35      7674.13      9084      337.1      5.9
                 NEW_HAMPSHIRE       NH      1978      4223.59     2301.79      511.67     1410.14      7886.88     10002      359.6      3.8
                 NEW_HAMPSHIRE       NH      1979      4329.97     2333.25      567.87     1428.85      8200.74     10572      378.5      3.1
                 NEW_HAMPSHIRE       NH      1980      4348.94     2342.18      560.20     1446.56      8562.82     10738      385.4      4.7
                 NEW_HAMPSHIRE       NH      1981      4369.35     2344.09      578.84     1446.42      9134.69     11332      394.6      5.0
                 NEW_HAMPSHIRE       NH      1982      4353.02     2330.25      607.17     1415.59      9412.72     11606      394.4      7.4
                 NEW_HAMPSHIRE       NH      1983      4333.41     2314.90      622.69     1395.82      9575.38     12743      409.5      5.4
                 NEW_HAMPSHIRE       NH      1984      4324.98     2327.25      624.39     1373.34      9751.27     14100      441.5      4.3
                 NEW_HAMPSHIRE       NH      1985      4316.63     2337.76      633.79     1345.08     10057.05     15541      466.0      3.9
                 NEW_HAMPSHIRE       NH      1986      4331.54     2350.11      637.52     1343.91     11863.55     17073      490.1      2.8
                 NEW_JERSEY          NJ      1970     24857.74    10385.59     3963.35    10508.80     57996.40     86366     2606.2      4.6
                 NEW_JERSEY          NJ      1971     26627.68    11262.24     4101.37    11264.07     59928.09     89073     2607.6      5.7
                 NEW_JERSEY          NJ      1972     28256.83    12060.09     4189.13    12007.61     62437.39     93384     2672.5      5.8
                 NEW_JERSEY          NJ      1973     29544.99    12813.13     4386.79    12345.07     65220.99     97847     2759.7      5.6
                 NEW_JERSEY          NJ      1974     30629.69    13495.55     4408.03    12726.11     68911.99     94864     2783.0      6.9
                 NEW_JERSEY          NJ      1975     31830.65    13945.50     4522.40    13362.75     72364.36     90693     2699.9     10.0
                 NEW_JERSEY          NJ      1976     32396.14    14014.03     4615.85    13766.27     65688.10     94049     2753.7     10.0
                 NEW_JERSEY          NJ      1977     32775.77    13955.12     4803.28    14017.37     67158.09     97370     2836.9      9.4
                 NEW_JERSEY          NJ      1978     33066.76    13788.65     5095.30    14182.81     69360.18    101593     2961.9      7.2
                 NEW_JERSEY          NJ      1979     33268.60    13644.05     5404.27    14220.29     72312.47    103350     3027.2      6.9
                 NEW_JERSEY          NJ      1980     33625.27    13558.33     5776.42    14290.51     75670.48    102571     3060.4      7.2
                 NEW_JERSEY          NJ      1981     33794.24    13439.86     6029.86    14324.53     77193.36    105835     3098.9      7.3
                 NEW_JERSEY          NJ      1982     34144.85    13293.91     6255.30    14595.64     79782.27    106705     3092.8      9.0
                 NEW_JERSEY          NJ      1983     34320.27    13343.43     6279.97    14696.88     81590.08    113408     3165.1      7.8
                 NEW_JERSEY          NJ      1984     34385.92    13415.00     6284.28    14686.65     83749.02    121388     3329.2      6.2
                 NEW_JERSEY          NJ      1985     34528.53    13486.99     6391.51    14650.02     87514.13    126460     3414.1      5.7
                 NEW_JERSEY          NJ      1986     34675.69    13719.05     6368.17    14588.46     95540.08    133468     3489.9      5.0
                 NEW_MEXICO          NM      1970      6082.20     3256.77      802.99     2022.44     18909.26     12837      292.6      5.9
                 NEW_MEXICO          NM      1971      6195.50     3341.90      824.19     2029.41     19467.69     13284      305.7      6.2
                 NEW_MEXICO          NM      1972      6238.49     3385.03      800.31     2053.14     19864.93     13874      327.5      5.8
                 NEW_MEXICO          NM      1973      6326.03     3442.98      779.31     2103.74     20592.77     14588      346.0      5.7
                 NEW_MEXICO          NM      1974      6367.27     3446.34      784.57     2136.37     21314.16     15247      360.2      6.3
                 NEW_MEXICO          NM      1975      6447.38     3460.85      808.88     2177.66     21958.76     15541      370.2     10.0
                 NEW_MEXICO          NM      1976      6606.97     3474.94      883.33     2248.71     23919.97     15932      390.0      9.1
                 NEW_MEXICO          NM      1977      6724.71     3501.57      890.22     2332.92     24441.46     16932      415.4      7.8
                 NEW_MEXICO          NM      1978      6786.25     3494.83      896.99     2394.43     25269.39     18122      444.3      5.7
                 NEW_MEXICO          NM      1979      6902.83     3515.79      923.86     2463.18     26247.31     19078      461.0      6.6
                 NEW_MEXICO          NM      1980      7104.70     3579.76      972.35     2552.60     27361.11     19664      465.4      7.5
                 NEW_MEXICO          NM      1981      7296.53     3615.48     1017.38     2663.68     26939.76     20265      475.5      7.3
                 NEW_MEXICO          NM      1982      7402.21     3631.09     1039.88     2731.23     28025.98     20023      473.6      9.2
                 NEW_MEXICO          NM      1983      7634.64     3739.57     1071.49     2823.58     28657.43     20283      479.5     10.0
                 NEW_MEXICO          NM      1984      7904.32     3877.09     1117.34     2909.89     28916.61     21331      502.8      7.5
                 NEW_MEXICO          NM      1985      8228.31     4028.10     1150.52     3049.69     29544.48     21741      520.2      8.8
                 NEW_MEXICO          NM      1986      8483.37     4096.28     1198.64     3188.45     30208.23     21154      525.9      9.2
                 NEW_YORK            NY      1970    106893.49    34674.49    10536.87    61682.14    136663.66    242791     7156.4      4.5
                 NEW_YORK            NY      1971    110931.96    35397.65    11005.89    64528.42    142795.91    245018     7011.4      6.6
                 NEW_YORK            NY      1972    115957.66    36040.10    11844.87    68072.70    149415.66    251249     7038.5      6.7
                 NEW_YORK            NY      1973    121450.05    36678.41    12806.81    71964.82    157017.53    258498     7132.2      5.4
                 NEW_YORK            NY      1974    126498.16    36709.33    14026.58    75762.25    166920.58    250208     7077.1      6.3
                 NEW_YORK            NY      1975    131097.03    36931.52    15461.48    78704.03    175080.71    242463     6829.9      9.5
                 NEW_YORK            NY      1976    134166.03    36848.64    16674.44    80642.95    153578.05    245161     6789.5     10.0
                 NEW_YORK            NY      1977    134701.89    36486.69    17487.05    80728.14    156804.67    251092     6857.6      9.1
                 NEW_YORK            NY      1978    134632.83    36064.57    18001.42    80566.85    162223.44    254194     7044.5      7.7
                 NEW_YORK            NY      1979    134765.25    35899.56    18904.65    79961.03    169324.73    254314     7179.4      7.1
                 NEW_YORK            NY      1980    134166.71    35837.95    19440.64    78888.13    177499.16    249770     7207.1      7.5
                 NEW_YORK            NY      1981    133207.70    35638.22    20032.22    77537.26    173471.27    256199     7287.3      7.6
                 NEW_YORK            NY      1982    132189.18    35797.68    20063.48    76328.03    179574.26    255686     7254.6      8.6
                 NEW_YORK            NY      1983    131808.83    35777.56    20119.85    75911.43    183921.34    267916     7313.3      8.6
                 NEW_YORK            NY      1984    131365.12    35970.24    20223.34    75171.54    189443.48    285080     7570.4      7.2
                 NEW_YORK            NY      1985    131529.92    36063.88    20459.67    75006.37    199426.84    296381     7751.3      6.5
                 NEW_YORK            NY      1986    132203.02    36270.34    20695.61    75237.07    199092.60    309273     7907.9      6.3
                 NORTH_CAROLINA      NC      1970     16840.00     7670.09     2354.23     6815.68     43497.41     48047     1782.7      4.3
                 NORTH_CAROLINA      NC      1971     17688.47     8035.21     2409.62     7243.65     46378.35     50127     1813.8      4.8
                 NORTH_CAROLINA      NC      1972     18419.02     8433.57     2437.58     7547.86     48129.87     54624     1911.9      4.0
                 NORTH_CAROLINA      NC      1973     19081.72     8810.08     2458.58     7813.07     49858.52     57975     2018.1      3.5
                 NORTH_CAROLINA      NC      1974     19701.02     9185.20     2511.72     8004.09     52460.28     57546     2048.2      4.5
                 NORTH_CAROLINA      NC      1975     20334.13     9347.54     2626.44     8360.16     54990.14     56288     1979.9      8.6
                 NORTH_CAROLINA      NC      1976     21062.44     9478.41     2794.70     8789.33     57959.71     59462     2082.7      6.2
                 NORTH_CAROLINA      NC      1977     22029.51     9749.47     3027.51     9252.54     59106.74     62681     2170.4      5.9
                 NORTH_CAROLINA      NC      1978     22652.00     9915.07     3236.38     9500.55     60848.16     66409     2277.4      4.3
                 NORTH_CAROLINA      NC      1979     23305.83    10151.65     3386.90     9767.29     63150.19     68039     2373.0      4.8
                 NORTH_CAROLINA      NC      1980     24164.71    10342.92     3529.30    10292.49     65641.48     68065     2380.0      6.6
                 NORTH_CAROLINA      NC      1981     24576.10    10401.46     3674.75    10499.90     67293.41     70395     2391.6      6.4
                 NORTH_CAROLINA      NC      1982     24698.58    10322.00     3776.84    10599.74     69071.06     69128     2347.0      9.0
                 NORTH_CAROLINA      NC      1983     24700.31    10211.41     3848.75    10640.14     70037.15     73553     2419.2      8.9
                 NORTH_CAROLINA      NC      1984     24674.17    10160.18     3881.92    10632.06     70834.50     80020     2565.2      6.7
                 NORTH_CAROLINA      NC      1985     24744.19    10119.46     3934.05    10690.68     72753.04     83170     2651.2      5.4
                 NORTH_CAROLINA      NC      1986     25179.37    10143.70     4011.37    11024.30     84000.92     87371     2744.1      5.3
                 NORTH_DAKOTA        ND      1970      4173.07     2716.99      307.77     1148.30     11571.80      6024      163.6      4.6
                 NORTH_DAKOTA        ND      1971      4226.31     2740.92      312.24     1173.15     11843.02      6551      167.0      5.3
                 NORTH_DAKOTA        ND      1972      4302.57     2816.25      312.10     1174.22     12036.32      7015      176.1      4.9
                 NORTH_DAKOTA        ND      1973      4330.52     2834.21      309.31     1187.01     12675.35      8120      183.9      5.1
                 NORTH_DAKOTA        ND      1974      4404.40     2888.67      324.15     1191.58     13112.72      8000      193.8      3.0
